stop_id,stop_name
1,Road New Condos Opposite Hatters Park
2,Road Front Of 4 East Hayestown Road
3,Oak Lane 20 Feet South Of Oak Lane
4,60 Feet West Of Moran
5,Tamarack 130 Ft West Of E Hayestown Road Near Henry Abott Tech
6,North Street Shopping Center
7,Front Of Brookside Condos
8,Front Of Northridge Condos
9,Road E Hayestown Road Front Of 96 Golden Hill Road Near 25 Mph Sign
10,Danbury High School
11,Road Terrace Street Front Of 74 Golden Hill
12,Road Golden Hill Av Front Of 48 Golden Hill
13,Road Ventura Av 50 Feet North Of Ventura Av
14,Golden Hill Road 200 Feet South Of Golden Hill Road
15,Balmforth Front Of 26 North Street
16,Patch Street 50 Feet North Of Patch Street
17,East Franklin Street 40 Feet South Of Franklin Street
18,Main Street 200 Ft East Of Main Street
19,Pulse Point
20,Opposite 11 Rose Street
21,Main Street 100 Feet East Of Main Street
22,Garamella Front Of 27 Balmforth Avenue
23,Front Of 41 Balmforth Avenue
24,Rowan Street 25 Feet North Of Learning Center
25,Balmforth Maple Front Of 29 North Street
26,Thorpe Street 40 Feet West Of Carland Auto
27,Tooley Lane Front Of 429 Main C And C Deli
28,Road Margerie Street Front Of 13 Golden Hill Road
29,Road Front Of 37 Golden Hill Road
30,Road Ezra Road 75 Feet South Of Ezra Road
31,Road Berkshire Front Of 61 Golden Hill Road
32,Road Padanaram Road Front Of 97 Golden Hill Road
33,Front Of Padanaram Court
34,Opposite Brookside Condos
35,25 Feet South Of Burger King
36,Rowan Street Extension Front Of Savings Bank Of Danbury 12 Hayestown Avenue
37,Tamarack Road In Front Of 26 Hayestown Avenue
38,Hayestown Road In Front Of Safe Lite Auto
39,Virginia Avenue Extension 25 Feet North Of Virginia Avenue Entrance To Wooster Cemetary
40,Forest Avenue 20 Feet West Of Forest Avenue
41,Hospital Avenue 25 Feet North Of Hospital Avenue
42,Tamarack Avenue Danbury Hospital Entrance Across From 27 Hospital Avenue
43,Front Of 27 Hospital Avenue
44,Hospital Avenue Front Of 90 Locust Avenue
45,Osborne Street 150 Feet North Of Osborne Street
46,Front Of 118 Osborne Street
47,Somers Street 30 Feet East Of Somers Street
48,Springside Avenue 15 Feet West Of Springside Avenue
49,Front Of 5 Germantown Road
50,Sand Pit Road Front Of 41 Germantown Road
51,Road Across From 54 Sand Pit Road
52,Road Front Of 79 Sand Pit Road Medical Center
53,Sand Pit Road 100 Feet North Of Sand Pit Road
54,Rubson Street At North Corner Of Intersection
55,Stadley Rough Road 15 Feet South Stadley Rough Road
56,Road Stadley Rough Road Front Of 23 Great Plain Road
57,Road Albers Road 50 Feet North Of Albers Road
58,Road Opposite Diamond Road
59,Road Dixon Road Front Of 79 Great Plain Road
60,Road Street Gregory Church
61,Valleystream Road 15 Feet East Of Valleystream Road
62,Acre Drive 15 Feet West Of Acre Dr
63,At Town Park Vehicle Bay
64,Depart From Sand Pit Medical Center
65,Germantown Plaza
66,Danbury Hospital
67,Golden Hill
68,C Town
69,Rose Hill Hoyt
70,Putnam Towers
71,Arrive Pulse Point
72,Depart Pulse Point
73,North Main And Golden Hill
74,Sand Pit Medical Center
75,Stop And Shop Plaza
76,Depart Berkshire Sc
77,Stony Hill Sky Edge
78,Newtown Road White Street
79,Wscu
80,Library
81,Main Street South Street
82,Fleetwood Grassy Plain South
83,Pt Barnum Square
84,Triangle Newtown
85,Arrive Berkshire Sc
86,Road Old Hawleyville Road Front Of Mountain Laurel Plaza
87,Road Copper Square
88,Road Mcneil Road Opposite 53 Stony Hill Road
89,Road Vail Road 80 Feet West Of Vail Road
90,Road Sand Hill Road 6 Stony Hill Road
91,Road Front Of Scalzo Realty
92,Pocono Lane Front Of Mobil
93,Puerta Villarte
94,Newtown Road Front Of Wells Fargo
95,Eagle Road 100 Feet West Of Eagle Road
96,Opposite Lesser Evil
97,24 Finance Dr
98,Road Front Of 11 Old Newtown Road
99,Road Newtown Road 15 Old Newtown Road
100,Eagle Road Front Of Holiday Inn
101,Super Stop N Shop Nutmeg Square
102,Before The Route 6 Plaza
103,Front Of 52 Newtown Road
104,Front Of Action Auto
105,Facility Entrance 15 Feet East Of Riverbend Condos Entrance
106,Newtown Road At Gulf Station
107,Byron Road 60 Feet North Of Byron
108,Triangle
109,Cook Street Front Of 127 Triangle Street
110,Triangle Street 150 Feet North Of Triangle Street
111,Front Of Mannkind Complex
112,Sheridan Street At Corner Sheridan Casper
113,Mcdermott Street 80 Feet West Of Mcdermott Street
114,Town Hill Avenue 60 Feet East Of Town Hill Avenue
115,Avenue Liberty Street 50 Feet South Of Liberty Street
116,Liberty Street Front Of Liberty Auto Repair
117,Independence Way 100 Ft North Independence Way Near Street Lamp Danbury Train Station
118,West Street Nvcc Pershing Building
119,West Street Front Of Danbury Library
120,50 Feet East Of Main Street
121,Town Hill Avenue 80 Feet West Of Town Hill Avenue
122,Town Hill Avenue 50 Feet East Of Town Hill Avenue
123,Stone Street Front Of Sacred Heart Church
124,Sheridan Street 40 Feet East Of Sheridan Street
125,In Front Of Mannkind Facility
126,Front Of 92 Taylor Street
127,Cook Street Next To Lions Condos
128,Triangle Terrace At The Corner Of Triangle Street And Triangle Terrace Near Pickett Fence
129,Purcell Drive Front Of 162 Triangle Street
130,Cross Street 80 Feet South Of Cross Street
131,Front Of 11 Newtown Road Opposite Riverbend Condos
132,Old Shelter Roack 25 Newtown Road Padaminas
133,Woodside Avenue Newtown Road 75 Feet South Of Newtown Road
134,Woodside Avenue Woodside Avenue Extension 20 Feet North Of Woodside Avenue Extension
135,Woodside Avenue Extension Eden Drive 15 Feet West Of Eden Drive
136,Hager Street Woodside Avenue 25 Feet East Of Woodside Avenue
137,Woodside Avenue Newtown Road 50 Feet South Of Newtown Road
138,Newtown Road Opposite 40 Newtown Road
139,Plumtree Road 300Ft West Of Plumtree Road Across From Sunoco
140,Staples Berkshire Shopping Plaza
141,Walmart Berkshire Shopping Plaza
142,Marshall S Berkshire Shopping Plaza
143,Road Newtown Road 120 Feet North Of Newtown Road
144,In Front Of 27 Augusta Drive
145,Eagle Road 4 Finance Drive Tbico
146,22 Eagle Road
147,Newtown Road 150 Ft North Of Newtown Road Across From Courtyard Marriot Sign
148,Industrial Plaza Drive 40 Ft West Of Industrial Plaza Dr
149,Front Of 103 109 Newtown Road
150,Road Payne Road 60 Feet East Of Intersection
151,Road Sky Edge Drive
152,Stony Hill Road Front Of 4 Garella Road
153,Stony Hill Road Cul De Sac At End Of Berkshire Blvd
154,Road Sand Hill Road Best Western
155,Road Terrace Road 40 Feet East Of Terrace
156,Road Past Meeting House
157,Road Front Of 53 Stony Hill Road
158,Road
159,Road Uconn Cooperative Extension
160,Road Old Hawleyville Road Opposite Mountain Laurel Plaza
161,Nutmeg Square
162,Eden Drive
163,Big Y And Stony Hill Inn
164,Berkshire Corporate Park
165,Mobil Gas Station Exit 8
166,Triangle Street And White Street
167,Cottage Street And Town Hill Avenue
168,Berkshire Shopping Center
169,103 109 Newtown Road
170,Road Exit 2 Park And Ride In Front Of Park And Ride Attached To Other Sign
171,Road Exit 1 Park And Ride Inside Park And Ride
172,Raod Exit 1 Park And Ride Entrance To Lot
173,Road Front Of Danbury Sheridan
174,Road Prindle Lane Front Of 106 Mill Plain Road Barret Roofing
175,Road Front Of Dutchess
176,Road Westwood Dr In Front Of Volkswagen Dealer
177,Road Front Of Jewelry Design
178,Road Westwood Vil Drive 66 Mill Plain Road
179,Road 56 Mill Plain Road
180,Road Kenosia Avenue Front Of Nysc Gym
181,Road Amity Lane 12 Mill Plain Road
182,Extension Front Of Stop And Shop Opposite Monro Muffler
183,Extension Front Of 40 Lake Avenue Extension
184,Extension 24 Lake Av Extension
185,Mill Ridge Road 2 Lake Av Extension
186,Road Lake Avenue 80 Feet North Of Lake Avenue
187,Lawncrest Road Southwest Corner Of Intersect
188,Westville Avenue 10 Feet East Of Westville Avenue
189,Myrtle Avenue Front Of Morris Street School
190,Highland Avenue 40 Feet North Of Highland Avenue
191,Franklin Street 30 Feet West Of Franklin Street
192,John Street 40 Feet East Of John Street
193,Avenue Hoyt Street 35 Feet South Of Hoyt Street
194,Avenue Grandview Drive At Parking Lot Of 88 Rose Hill Avenue Silvermine Development Corp
195,Elm Street 40 Feet South Of Elm At Basketball Court
196,Opposite Putnum Tower
197,New Street Front Of 18 Spring Street
198,New Street Front Of 27 Spring Street
199,Front Of Putnam Tower
200,Elm Street 80 Feet North Of Elm Street
201,Avenue Opposite Grandview Avenue
202,Avenue Hoyt Street 20 Feet South Of Hoyt Street
203,Front Of 79 Franklin Street
204,Mallory 50 Feet South Of Mallory Street
205,Hoyt Street
206,Myrtle Avenue 40 Feet North Of Myrtle Avenue
207,Westville Avenue 50 Feet East Of Westville Avenue
208,Abbott Avenue 100 Feet West Of Abbott Avenue
209,Road Lake Avenue 70 Feet North Of Lake Avenue
210,Mill Ridge Road Lake Avenue Extension Front Of 3 Mill Ridge Road
211,Mill Ridge Road Mill Ridge Drive Front Of 17 Mill Ridge Road
212,Mill Ridge Road High Ridge Road Front Of 35 Mill Ridge Road
213,Mill Ridge Road High Ridge Road Front Of 71 Mill Ridge Road
214,Mill Ridge Road Front Of 93 Mill Ridge Road
215,Mill Ridge Road Front Of 123 Mill Ridge Road
216,Mill Ridge Road Mill Ridge Road Front Of 2 Mill Ridge Road
217,Extension West Of Mill Ridge Road Lake Avenue Plaza
218,Extension Front Of Ethan Allen Inn
219,Extension Wcsu Westside Campus
220,Extension Crestdale Road 53 Lake Avenue Extension
221,Road Amity Lane 25 Feet East Of Amity
222,Road Elmbrook Dr 80 Feet West Of Elmbrook
223,Road Westwoods Village 25 Feet West Of Access Road To Westwood Village
224,Road Mill Plain Service Road In Vincinity Of Subway Directly Across Road Is Existing Sign
225,Road Aunt Hack Road 40 Feet West Of Aunt Hack Road
226,Road Prindle Lane 15 Feet West Of Prindle Lane
227,Road In Front Of Mobil
228,Road Near I 84 Junction West Of Entrance To Shopping Center With Trader Joe S
229,Road Opposite Danbury Crown Plaza
230,Designated Stop At Matrix
231,Designated Stop At Mcca
232,Exit 2 Park And Ride
233,Mcca
234,Hotel Zero
235,Jensen Park
236,Mill Ridge
237,Myrtle And Westville
238,Franklin And Davis
239,Putnam Tower
240,Brewster
241,Exit 2 Mill Plain
242,Front Of 300 Federal Road
243,270 Federal Road
244,Sandy Lane 100 Feet North Of Costco Entr On Costco Side Near Telephone Pole
245,Hardscrabble Road Front Of Moe S Southwest Grill By Telephone Pole 164 Federal Road
246,Front Of 132 Federal Road Near Kohl S Entrance Across From Five Guys
247,Front Of Wendy S
248,Near Sherman Williams After Wendy S Sign Near Telephone Pole
249,Front Of 128 Federal Road Widow Browns
250,Nabby Road Front Of 114 Federal Road
251,Front Of Pc Richards Planet Fitness
252,South Of International Dr Front Of Quality Inn 78 Federal Road Near Telephone Pole
253,Beaver Brook Road Front Of 15 Starr Road
254,Road Starr Road Front Of 94 Sand Pit Road
255,Road Front Of 80 Sand Pit Road
256,Front Of Germantown Plaza
257,First Avenue Front Of 8 Germantown Road
258,Locust Avenue Front Of Dialysis
259,Ninth Street Front Of 99 Osborne Street
260,In Front Of 77 Osborne Street
261,Hospital Avenue Front Of 69 Osborne Street
262,Moss Street 100 Feet West Of Moss Avenue
263,Moss Avenue 100 Feet West Of Moss Avenue
264,Hospital Avenue 100 Feet West Of Hospital Avenue
265,Ninth Street 100 Feet West Of Ninth Street
266,Front Of 41 Germantown Road
267,Road Front Of Avalon Apts
268,Road Front Of 79 Sand Pit Road
269,Road Starr Road Front Of 93 Sand Pit Road
270,Beaver Brook Road Front Of 24 Starr Road
271,Eagle Road Extension Front Of Enterprise Car Rental
272,Old Brookfield Road Front Of Park And Ride Lot
273,Nabby Road Front Of 87 Federal Road
274,Nabby Road Inside Stew Leonards
275,Nabby Road Front Stew Leonards 80 Feet North Of Southern Entrance
276,Nabby Road Front Of Salsa Fresca 109 Federal Road
277,Front Of Dunkin Donuts 7 Federal Road
278,Front Of Michaels
279,Front Of Kohl S
280,Front Of 121 Federal Road Five Guys
281,Rite Sign Is On Pillar In Lot Front Of Shop Rite
282,Hardcrabble 75 Feet South Of Hardscrabble
283,Costco Entrance 227 Federal Road
284,Front Of Rollingwood Plaza
285,Opposite 300 Federal Road
286,Milford Road Opposite Huckleberry Hill Road
287,Ymca
288,Shoprite
289,Kohl S And Big Y
290,Stew Leonard S
291,Osborne And Locust
292,Street Beach Street In Front Of 86 Grassy Plain Street
293,Street Griswold Lane 25 Feet South Of Griswold Lane
294,Plumtrees Road Opposite Mountain View Estates
295,Maple Avenue Extension Front Of Bethel Police Dept
296,Front Of Colonial Acres Apart
297,Plumtrees Road Front Of Plumtrees Heights Condos
298,Milwaukee Avenue 150 Feet East Of Milwaukee Avenue
299,Main Street 40 Feet East Of Main Street
300,Greenwood Avenue Front Of Citgo Gas Station
301,Wooster Street P T Barnum Square
302,Front Of Dolan Plaza Put Shelter Here
303,High Street Front Of Church Of Bethel
304,Front Of Burger King
305,Diamond Avenue At Shelter Opposite Sycamore
306,Road Greenwood Avenue 150 Feet North Of Greenwood
307,Grassy Plain Road Front Of 4 Fleetwood Avenue
308,Front Of 34 Fleetwood Avenue
309,Hill Road Front Of Spring Ridge Apts
310,Hill Road Front Of Deer Ridge Apts
311,Hill Road 88 Coal Pit Hill Road
312,Hill Road South Street 150 Feet South Of South Street
313,Street Willow Street 35 Feet South Of Willow Street
314,Street Front Of 11 Grassy Plain Street
315,Opposite Southfield Condos
316,Mannion Road Directly Across From Mannion Road
317,Front Of Autobody And Collision
318,High Street Extension Front Of Drs
